"Step","yolo_tomo_v1 - metrics/mAP_0.5:0.95","yolo_tomo_v1 - metrics/mAP_0.5:0.95__MIN","yolo_tomo_v1 - metrics/mAP_0.5:0.95__MAX","yDICOM4 - metrics/mAP_0.5:0.95","yDICOM4 - metrics/mAP_0.5:0.95__MIN","yDICOM4 - metrics/mAP_0.5:0.95__MAX","yDICOM3 - metrics/mAP_0.5:0.95","yDICOM3 - metrics/mAP_0.5:0.95__MIN","yDICOM3 - metrics/mAP_0.5:0.95__MAX"
"0","0.000009649516681785349","0.000009649516681785349","0.000009649516681785349","0","0","0","0.00002266939398443363","0.00002266939398443363","0.00002266939398443363"
"1","0","0","0","0","0","0","0.000009947022287175741","0.000009947022287175741","0.000009947022287175741"
"2","0.000011144669073782814","0.000011144669073782814","0.000011144669073782814","0.000035502716987855216","0.000035502716987855216","0.000035502716987855216","0","0","0"
"3","0","0","0","0","0","0","0","0","0"
"4","0","0","0","0","0","0","0","0","0"
"5","0","0","0","0","0","0","0","0","0"
"6","0.000009551676731816012","0.000009551676731816012","0.000009551676731816012","0","0","0","0.000020721330744071955","0.000020721330744071955","0.000020721330744071955"
"7","0.000009551676731816012","0.000009551676731816012","0.000009551676731816012","0","0","0","0","0","0"
"8","0.000009551676731816012","0.000009551676731816012","0.000009551676731816012","0","0","0","0","0","0"
"9","0.000009551676731816012","0.000009551676731816012","0.000009551676731816012","0","0","0","0.00005519021865821251","0.00005519021865821251","0.00005519021865821251"
"10","0.000009551676731816012","0.000009551676731816012","0.000009551676731816012","0","0","0","0.00006541288191577209","0.00006541288191577209","0.00006541288191577209"
"11","0.000009551676731816012","0.000009551676731816012","0.000009551676731816012","0","0","0","0.000033575466460285684","0.000033575466460285684","0.000033575466460285684"
"12","0.000009551676731816012","0.000009551676731816012","0.000009551676731816012","0","0","0","0","0","0"
"13","0.000009551676731816012","0.000009551676731816012","0.000009551676731816012","0","0","0","0","0","0"
"14","0.000009551676731816012","0.000009551676731816012","0.000009551676731816012","0","0","0","0.000025543459677557235","0.000025543459677557235","0.000025543459677557235"
"15","0.000009551676731816012","0.000009551676731816012","0.000009551676731816012","0.0000150995889323901","0.0000150995889323901","0.0000150995889323901","0.0000448438225222891","0.0000448438225222891","0.0000448438225222891"
"16","0","0","0","0","0","0","0.000029292917116215714","0.000029292917116215714","0.000029292917116215714"
"17","0","0","0","0","0","0","0.00011222406881899857","0.00011222406881899857","0.00011222406881899857"
"18","0","0","0","0.00003138754300555527","0.00003138754300555527","0.00003138754300555527","0.00007119705578512397","0.00007119705578512397","0.00007119705578512397"
