"Step","yolo_tomo_v1 - metrics/recall","yolo_tomo_v1 - metrics/recall__MIN","yolo_tomo_v1 - metrics/recall__MAX","yDICOM4 - metrics/recall","yDICOM4 - metrics/recall__MIN","yDICOM4 - metrics/recall__MAX","yDICOM3 - metrics/recall","yDICOM3 - metrics/recall__MIN","yDICOM3 - metrics/recall__MAX"
"0","0.1","0.1","0.1","0","0","0","0.1","0.1","0.1"
"1","0","0","0","0","0","0","0.1","0.1","0.1"
"2","0.1","0.1","0.1","0.1","0.1","0.1","0","0","0"
"3","0","0","0","0","0","0","0","0","0"
"4","0","0","0","0","0","0","0","0","0"
"5","0","0","0","0","0","0","0","0","0"
"6","0.1","0.1","0.1","0","0","0","0.1","0.1","0.1"
"7","0.1","0.1","0.1","0","0","0","0","0","0"
"8","0.1","0.1","0.1","0","0","0","0","0","0"
"9","0.1","0.1","0.1","0","0","0","0.1","0.1","0.1"
"10","0.1","0.1","0.1","0","0","0","0.1","0.1","0.1"
"11","0.1","0.1","0.1","0","0","0","0.1","0.1","0.1"
"12","0.1","0.1","0.1","0","0","0","0","0","0"
"13","0.1","0.1","0.1","0","0","0","0","0","0"
"14","0.1","0.1","0.1","0","0","0","0.1","0.1","0.1"
"15","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1"
"16","0","0","0","0","0","0","0.1","0.1","0.1"
"17","0","0","0","0","0","0","0.1","0.1","0.1"
"18","0","0","0","0.1","0.1","0.1","0.2","0.2","0.2"
"19","0","0","0","0","0","0","0.1","0.1","0.1"
"20","0","0","0","0.1","0.1","0.1","0.3","0.3","0.3"
"21","0","0","0","0.1","0.1","0.1","0.3","0.3","0.3"
"22","0","0","0","0.1","0.1","0.1","0.2","0.2","0.2"
"23","0","0","0","0","0","0","0.2","0.2","0.2"
"24","0","0","0","0.1","0.1","0.1","0.2","0.2","0.2"
"25","0","0","0","0","0","0","0.2","0.2","0.2"
"26","0","0","0","0.1","0.1","0.1","0.2","0.2","0.2"
"27","0","0","0","0.1","0.1","0.1","0.2","0.2","0.2"
"28","0","0","0","0.1","0.1","0.1","0.1","0.1","0.1"
"29","0","0","0","0","0","0","0","0","0"
"30","0","0","0","0.2","0.2","0.2","0","0","0"
"31","0","0","0","0.2","0.2","0.2","0","0","0"
"32","0","0","0","0.2","0.2","0.2","0.1","0.1","0.1"
"33","0","0","0","0.3","0.3","0.3","0.2","0.2","0.2"
"34","0","0","0","0.3","0.3","0.3","0","0","0"
"35","0","0","0","0.1","0.1","0.1","0","0","0"
"36","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1"
"37","0.2","0.2","0.2","0","0","0","0.1","0.1","0.1"
